id,titulo,subtitulo,autores,editorial,fecha_publicacion,paginas,categorias,idioma,rating_promedio,cantidad_ratings,consulta_origen
69JaAAAAMAAJ,Hemingway,A Life Without Consequences,James R. Mellow,,1992,742.0,Biography & Autobiography,en,,,subject:fiction
ZIGxEAAAQBAJ,Persuasion,,Jane Austen,neobooks,2023-03-02,276.0,Fiction,de,,,subject:fiction
7rzMEQAAQBAJ,The Maltese Falcon,,,Courier Dover Publications,2025-11-11,194.0,Fiction,en,,,subject:fiction
fP33EAAAQBAJ,THE Murder Of Roger Ackroyd,,AGATHA CHRISTIE,ببلومانيا للنشر والتوزيع,2024-02-29,314.0,Fiction,en,,,subject:fiction
V5mdEAAAQBAJ,Stories from the Pentamerone,in large print,Giambattista Basile,BoD – Books on Demand,2022-11-23,294.0,Fiction,en,,,subject:fiction
b74fEAAAQBAJ,Jane Eyre,,Charlotte Bronte,Principis,2021-03-10,609.0,Fiction,pt-BR,,,subject:fiction
qvk6DwAAQBAJ,Sense and Sensibility - Illustrated Edition,,Jane Austen,Abela Publishing Ltd,2017-10-23,579.0,Fiction,en,,,subject:fiction
_DYNAQAAMAAJ,The Face of Another,,Kōbō Abe,Kodansha,1992,260.0,Fiction,en,,,subject:fiction
XdMBTKWSfeMC,Taras Bulba,,Nikolái V. Gogol,Ediciones AKAL,2006-12-19,154.0,Literary Criticism,es,,,subject:fiction
yZAfIKgahyEC,The Skinner,,Neal Asher,Macmillan,2004-06,488.0,Fiction,en,4.0,1.0,subject:fiction
v7VPEQAAQBAJ,The Street of Crocodiles,,Bruno Schulz,Rare Treasure Editions,2025-03-19T00:00:00Z,136.0,Fiction,en,,,subject:fiction
ptQSSgAACAAJ,The Lone Star Ranger,,Zane Grey,,2010-05-01,,,en,,,subject:fiction
xNAmBQAAQBAJ,Afterdark,Roman,Haruki Murakami,Dumont Buchverlag,2011-08-18,185.0,Fiction,de,,,subject:fiction
EhSj9KDEPmwC,The Odyssey of Homer,,Richmond Lattimore,Harper Perennial Modern Classics,1967,388.0,Fiction,en,,,subject:fiction
XUtNEQAAQBAJ,The Final Problem,,Arthur Conan Doyle,SAMPI Books,2025-03-08,39.0,Fiction,en,,,subject:fiction
vp4uDwAAQBAJ,Al faro,,Virginia Woolf,Alianza Editorial,2017-09-07,228.0,Fiction,es,,,subject:fiction
ggpgAAAAMAAJ,Generations of Winter,,Василий Аксенов,Random House (NY),1994,616.0,Fiction,en,,,subject:fiction
QwVWCgAAQBAJ,1601 Conversation as it was by the Social Fireside in the Time of the Tudors,,Mark Twain,Library of Alexandria,1900-01-01,50.0,Fiction,en,,,subject:fiction
AzZ1zgEACAAJ,The Adventures of Huckleberry Finn Annotated,,Mark Twain,,2021-06-03,362.0,,en,,,subject:fiction
SHDXjwEACAAJ,"The Ingenious Gentleman Don Quixote of La Mancha, Volume 2",,John Ormsby,Palala Press,2015-08-31,410.0,,en,,,subject:fiction
UN370QEACAAJ,The Steppenwolf,,Hermann Heffe,Tradd Street Press,2026-02-14,0.0,Fiction,en,,,subject:fiction
3oSqDwAAQBAJ,Oliver Twist,,Charles Dickens,Jaico Publishing House,2019-01-01,220.0,Fiction,en,,,subject:fiction
-9TrzQEACAAJ,On the Origin of Species Illustrated,,Charles Darwin,,2020-09-22,770.0,,en,,,subject:fiction
6uPBhEIKP7kC,"I, Tituba, Black Witch of Salem",,Maryse Condé,One World/Ballantine,1994,260.0,Fiction,en,4.0,1.0,subject:fiction
NTwfzgEACAAJ,The Tragedy of King Lear,,William Shakespeare,,2020-12-22,124.0,,en,,,subject:fiction
qmw5PwAACAAJ,The House on the Borderland,,William Hope Hodgson,Soft Editions Limited,2003,176.0,Fiction,en,,,subject:fiction
EwZ-zgEACAAJ,Don Quixote Annotated,,Migue. D. Cervantes,,2021-05-04,647.0,,en,,,subject:fiction
oNY0DwAAQBAJ,There There,A novel,Tommy Orange,Vintage,2018-06-05,260.0,Fiction,en,5.0,2.0,subject:fiction
7Hv2zQEACAAJ,The Life and Adventures of Robinson Crusoe,,Daniel Defoe,Independently Published,2020-09-25,332.0,,en,,,subject:fiction
zENXswEACAAJ,The Wonderful Wizard of Oz,,L. Frank Baum,Createspace Independent Publishing Platform,2018-01-11,106.0,,en,,,subject:fiction
LNRKAAAAYAAJ,Resurrection,,Leo Tolstoy,ePenguin,1947,578.0,Fiction,en,,,subject:fiction
zJbzzQEACAAJ,Wuthering Heights Illustrated,,Emily Brontë,,2020-10-14,400.0,,en,,,subject:fiction
pXw8MQAACAAJ,Frankenstein,By Mary Wollstonecraft Shelley - Illustrated,Mary Wollstonecraft Shelley,Createspace Independent Publishing Platform,2016-12-09,164.0,,en,,,subject:fiction
TwVqzgEACAAJ,Pride and Prejudice Annotated,,Jane Austen,Independently Published,2021-04-30,464.0,,en,,,subject:fiction
qzSZuQAACAAJ,On the Nature of Things,,Titus Lucretius Carus,Tredition Classics,2011-11,198.0,,en,,,subject:fiction
LUX_jgEACAAJ,The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,,2015-11-23,62.0,,en,,,subject:fiction
3nqhDwAAQBAJ,Wundersmith,The Calling of Morrigan Crow,Jessica Townsend,Noura Books,2019-02-20,390.0,Fiction,id,,,subject:fiction
Zotf0QEACAAJ,Hunger,,Knut Hamsun,,2025,0.0,Fiction,en,,,subject:fiction
jftCSoPi0VYC,The Virginian,A Horseman of the Plains,Owen Wister,"Oxford University Press, USA",1998,406.0,Fiction,en,4.0,2.0,subject:fiction
uZKWzQEACAAJ,The Chimes Illustrated,,Charles Dickens,,2020-06-14,118.0,,en,,,subject:fiction
uwcEzgEACAAJ,Nana,,Emile Zola,Independently Published,2020-10-30,178.0,,en,,,subject:fiction
YazfoQEACAAJ,Quentin Durward,,Scott-W,,2013-02-25,100.0,,fr,,,subject:fiction
9WuqEAAAQBAJ,"Principles of Phisics, or Natural Philosophy",,Benjamin Silliman,BoD – Books on Demand,2023-01-31,782.0,Fiction,en,,,subject:fiction
5yHVzQEACAAJ,Moll Flanders Illustrated,,Daniel Defoe,,2020-08-23,384.0,,en,,,subject:fiction
o9pqzgEACAAJ,The Battle of the Books,Original Edition,Jonathan Swift,,2021-04-27,66.0,,en,,,subject:fiction
KfjpzgEACAAJ,The Hunchback of Notre Dame (Annotated),,Victor Hugo,,2021-05-16,684.0,,en,,,subject:fiction
zqUeswEACAAJ,Carmilla,,Joseph Sheridan Joseph Sheridan Le Fanu,,2015-07-12,130.0,,en,,,subject:fiction
J_j50dWIa3MC,Misery,,Stephen King,Albin Michel,2010-05-20,293.0,Fiction,fr,5.0,1.0,subject:fiction
IUhaAAAAMAAJ,Dogs of God,,Pinckney Benedict,Nan A. Talese,1994,378.0,Fiction,en,,,subject:fiction
LP5aAAAAMAAJ,Little Follies,"The Personal History, Adventures, Experiences & Observations of Peter Leroy (so Far)",Eric Kraft,Crown,1992,456.0,Fiction,en,,,subject:fiction
d6IpAQAAIAAJ,"J.J., Some Jottings",,Cuntara Rāmacāmi,,2003,196.0,Fiction,en,,,subject:fiction
lgfAzQEACAAJ,The Sorrows of Satan Illustrated,,Marie Corelli,,2020-07-26,562.0,,en,,,subject:fiction
tYq_KRQuF2sC,The Natural,,Bernard Malamud,Macmillan,1952,250.0,Fiction,en,,,subject:fiction
Pe28AQAACAAJ,西游记,,承恩·吴,,2003,3355.0,,en,,,subject:fiction
7v4qzgEACAAJ,The Three Musketeers Annotated,,Alexandre Dumas,,2020-10-31,739.0,,en,,,subject:fiction
t8zVugEACAAJ,The Power of Movement in Plants,,Charles Darwin,Createspace Independent Publishing Platform,2018-08-12,210.0,,en,,,subject:fiction
JSOvEAAAQBAJ,Little Black Sambo,,Helen Bannerman,anboco,2016-08-11,25.0,Fiction,en,,,subject:fiction
icKmd-tlvPMC,Journey to the Center of the Earth,,Jules Verne,Bantam,2006-04-25,242.0,Fiction,en,3.5,3.0,subject:fiction
fdhuvgAACAAJ,The House of the Seven Gables,By Nathaniel Hawthorne : Illustrated,Nathaniel Nathaniel Hawthorne,,2016-10-27,238.0,,en,,,subject:fiction
ens0MQAACAAJ,Alice in Wonderland and Through the Looking Glass,By Lewis Carroll : Illustrated,Lewis Lewis Carroll,,2016-12-15,200.0,,en,,,subject:fiction
g_RaAAAAMAAJ,That Hideous Strength,A Modern Fairy-tale for Grown-ups,Clive Staples Lewis,Random House (UK),1945,488.0,Fiction,en,,,subject:fiction
B9qLCgAAQBAJ,Pudd'nhead Wilson,,Mark Twain,Simon and Schuster,2016-05-24,260.0,Fiction,en,,,subject:fiction
iFhaAAAAMAAJ,"The Wrecked, Blessed Body of Shelton Lafleur",,John Gregory Brown,Houghton Mifflin,1996,282.0,Fiction,en,,,subject:fiction
u_HYCwAAQBAJ,Self's Deception,,Bernhard Schlink,Vintage Crime/Black Lizard,2007-06-12,354.0,Fiction,en,,,subject:fiction
yzs6HicjgsAC,Cat's Cradle,A Novel,Kurt Vonnegut,Dial Press Trade Paperback,1998-09-08,308.0,Fiction,en,4.0,147.0,subject:fiction
Z83IAQAACAAJ,The Dwarves of Death,,Jonathan Coe,,2001,214.0,Musical groups,en,,,subject:fiction
IxBmAAAAMAAJ,It's Saturday,,Michael Barrett (MFA.),Carnegie-Mellon University Press,2005,148.0,Fiction,en,,,subject:fiction
8T9_cxH7z6sC,The Trial,Introduction by George Steiner,Franz Kafka,Everyman's Library,1992-06-30,345.0,Fiction,en,,,subject:fiction
fU30AgAAQBAJ,The Last Trail,,Zane Grey,Simon and Schuster,2014-02-27,330.0,Fiction,en,,,subject:fiction
dTFcjMCYFwoC,Our Game,A Novel,John Le Carré,Alfred A. Knopf,1995,336.0,Fiction,en,4.0,2.0,subject:fiction
QR9rEQAAQBAJ,White fang,,Jack London,W. Books,2025-07-03,171.0,Fiction,en,,,subject:fiction
aGRkAAAAMAAJ,Chaka,,Thomas Mofolo,Heinemann Educational Publishers,1981,198.0,Fiction,en,,,subject:fiction
VH491zohk9IC,The Red Hot Typewriter,The Life and Times of John D. MacDonald,Hugh Merrill,Macmillan,2000-08-12,284.0,Biography & Autobiography,en,,,subject:fiction
Bqa5AAAAIAAJ,The Canterbury Tales,,Geoffrey Chaucer,Penguin Classics,1977,534.0,Fiction,en,,,subject:fiction
KnJFzwEACAAJ,Infinite Jest,,David Foster Wallace,"Little, Brown",1996-02-01,0.0,Fiction,en,,,subject:fiction
mHIkAAAAMAAJ,"My Disappearance in Providence, and Other Stories",,Alfred Andersch,,1978,248.0,Fiction,en,,,subject:fiction
ozItEAAAQBAJ,Quentin Durward,,Sir Walter Scott,Graphic Arts Books,2021-05-14,373.0,Fiction,en,,,subject:fiction
hSTJAQAAQBAJ,Talking For Two,,Wanda E. Brunstetter,Barbour Publishing,2013-07-01,96.0,Fiction,en,,,subject:fiction
46KJ4ERrzNkC,My Struggle: Book 1,,Karl Ove Knausgaard,Macmillan + ORM,2013-05-02,382.0,Fiction,en,5.0,1.0,subject:fiction
U-1LyAaWtCoC,Tess of the D'Urbervilles,,Thomas Hardy,Wordsworth Editions,1992,388.0,Fiction,en,,,subject:fiction
CCe5AAAAIAAJ,A Soldier of the Company,"Life of an Indian Ensign, 1833-43",Albert Hervey,Michael Joseph,1988,248.0,Fiction,en,,,subject:fiction
nAYBEAAAQBAJ,The Prophet,Timeless Wisdom for Modern Life,Kahlil Gibran,Pan Macmillan,2020-10-29,79.0,Fiction,en,,,subject:fiction
OhVpsEv9BFoC,The Scarlet Letter,,Nathaniel Hawthorne,Aerie,1989-08-15,288.0,Fiction,en,,,subject:fiction
5ntnDwAAQBAJ,The Scarred Woman,A Department Q Novel,Jussi Adler-Olsen,Penguin,2018-09-04,481.0,Fiction,en,,,subject:fiction
J_Kw1oREJcUC,Dreamcatcher,A Novel,Stephen King,Simon and Schuster,2001-03-20,704.0,Fiction,en,,,subject:fiction
P3uXugEACAAJ,Little Women,,Louisa May Alcott,Createspace Independent Publishing Platform,2018-08-11,474.0,,en,,,subject:fiction
6mdbAAAAMAAJ,Memories of My Father Watching TV,A Novel,Curtis White,,1998,176.0,Fiction,en,,,subject:fiction
jx0ZEAAAQBAJ,The Wind in the Willows,,Kenneth Grahame,Standard Ebooks,2015-10-30T23:56:40Z,194.0,Fiction,en,,,subject:fiction
BcCevp5-L6oC,The Swineherd,,Hans Christian Andersen,Michael Neugebauer Books,1995,36.0,Fiction,en,,,subject:fiction
DyeNEAAAQBAJ,The Song of Roland,,,National Geographic Books,2001-02-13,0.0,Fiction,en,,,subject:fiction
QnaucQAACAAJ,Moby Dick,,Herman Melville,Debolsillo,2014-02-04,0.0,Literary Collections,es,,,subject:fiction
aLPqDwAAQBAJ,Difficult Loves,,Italo Calvino,Houghton Mifflin Harcourt,2017-08-29,237.0,Fiction,en,,,subject:fiction
_yI-PgAACAAJ,Brasyl,,Ian McDonald,Pyr Books,2007,0.0,Brazil,en,,,subject:fiction
Ob92_hWYGJwC,"Short Letter, Long Farewell",,Peter Handke,New York Review of Books,2009-03-31,195.0,Fiction,en,,,subject:fiction
fz5H0vUiZocC,Italian Shoes,,Henning Mankell,ReadHowYouWant.com,2009-11-26,486.0,Fiction,en,,,subject:fiction
YiTIwAEACAAJ,Persuasion,,Jane Austen,Barnes & Noble,2005-08,249.0,Fiction,en,,,subject:fiction
BfxUzQEACAAJ,Don Quixote,,Cervantes,Iboo Academic Press,2020-02-14,652.0,Fiction,en,,,subject:fiction
VWF3SvrhjrMC,Swimmy,,Leo Lionni,Dragonfly Books,1973,36.0,Fiction,en,,,subject:fiction
