id,titulo,autores,anio_nacimiento_autor,anio_muerte_autor,materias,estanterias,idiomas,copyright,tipo_medio,descargas
2701,"Moby Dick; Or, The Whale","Melville, Herman",1819.0,1891.0,"Adventure stories; Ahab, Captain (Fictitious character) -- Fiction; Mentally ill -- Fiction; Psychological fiction; Sea stories; Ship captains -- Fiction; Whales -- Fiction; Whaling -- Fiction; Whaling ships -- Fiction",Best Books Ever Listings; Category: Adventure; Category: American Literature; Category: Classics of Literature; Category: Novels,en,False,Text,188210
1342,Pride and Prejudice,"Austen, Jane",1775.0,1817.0,Courtship -- Fiction; Domestic fiction; England -- Fiction; Love stories; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,Best Books Ever Listings; Category: British Literature; Category: Classics of Literature; Category: Novels; Category: Romance; Harvard Classics,en,False,Text,183505
2641,A Room with a View,"Forster, E. M. (Edward Morgan)",1879.0,1970.0,British -- Italy -- Fiction; England -- Fiction; Florence (Italy) -- Fiction; Humorous stories; Young women -- Fiction,Category: British Literature; Category: Novels; Category: Romance; Italy,en,False,Text,142569
2554,Crime and Punishment,"Dostoyevsky, Fyodor",1821.0,1881.0,Crime -- Psychological aspects -- Fiction; Detective and mystery stories; Murder -- Fiction; Psychological fiction; Saint Petersburg (Russia) -- Fiction,"Best Books Ever Listings; Category: Classics of Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Russian Literature; Crime Fiction; Harvard Classics",en,False,Text,125245
3268,The Mysteries of Udolpho,"Radcliffe, Ann Ward",1764.0,1823.0,Castles -- Fiction; Gothic fiction; Guardian and ward -- Fiction; Horror tales; Inheritance and succession -- Fiction; Italy -- Fiction; Orphans -- Fiction; Young women -- Fiction,"Category: British Literature; Category: Classics of Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Romance; Gothic Fiction; Italy",en,False,Text,117670
2465,Carmen,"Mérimée, Prosper",1803.0,1870.0,Carmen (Fictitious character) -- Fiction; Spain -- Social life and customs -- 19th century -- Fiction,"Category: Crime, Thrillers and Mystery; Category: French Literature; Category: Novels; Category: Romance; Opera",en,False,Text,112176
65238,The Secret of Chimneys,"Christie, Agatha",1890.0,1976.0,"Battle, Superintendent (Fictitious character) -- Fiction; Detective and mystery stories; Police -- England -- Fiction","Category: Adventure; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Novels; Category: Romance",en,False,Text,112143
21839,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,Domestic fiction; England -- Fiction; England -- Social life and customs -- 19th century -- Fiction; Gentry -- England -- Fiction; Inheritance and succession -- Fiction; Love stories; Mate selection -- Fiction; Regency fiction; Sisters -- Fiction; Social classes -- Fiction; Young women -- Fiction,Category: British Literature; Category: Classics of Literature; Category: Novels; Category: Romance,en,False,Text,107602
2868,The Green Mummy,"Hume, Fergus",1859.0,1932.0,Detective and mystery stories; Fiction,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: Romance",en,False,Text,106137
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,"Detective and mystery stories, English; Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction","Banned Books from Anne Haight's list; Category: British Literature; Category: Crime, Thrillers and Mystery; Category: Short Stories; Contemporary Reviews; Detective Fiction",en,False,Text,105900
