key,titulo,autores,cantidad_ediciones,anio_primera_publicacion,materias,tiene_texto_completo,id_internet_archive,id_portada
/works/OL66554W,Pride and Prejudice,Jane Austen,4040,1813,"Fiction, Romance, Historical, Regency; British and Irish fiction (fictional works by one author); Brothers and sisters; Courtship; Drama; English fiction; English literature; Families; Family; Family life",True,bwb_KS-179-237,14348537
/works/OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,3547,1865,"Alice (fictitious character : carroll), fiction; British and irish fiction (fictional works by one author); Fiction, fantasy, general; JUVENILE FICTION; classics; Fantasy & Magic; Imagination & Play; adventure and adventurers; adventure and adventurers, fiction; adventure stories",True,alicesadventures0000unse_v7d2,10527843
/works/OL32466W,A Christmas Carol,Charles Dickens,3199,1843,"Children's fiction; Christmas, fiction; Children's plays, English; Christmas; Drama; Ghosts; Plays; Ghost plays; British and irish fiction (fictional works by one author); London (england), fiction",True,bwb_P9-DBH-599,12875748
/works/OL8193416W,The Picture of Dorian Gray,Oscar Wilde,3012,1890,"British and irish fiction (fictional works by one author); Conduct of life, fiction; Fantasy fiction; Appearance (Philosophy); Fiction; Conduct of life; Youthfulness; Portraits; Apparence (Philosophie); Romans, nouvelles",True,pictureofdoriang00wild_5,14314858
/works/OL21177W,Wuthering Heights,Emily Brontë,2887,1846,form:novel; genre:tragedy; genre:gothic; British and irish fiction (fictional works by one author); Children's fiction; Classic fiction; Classic Literature; Country homes; Country life; Cousins,True,wutheringheights0000kesh,12818862
/works/OL53908W,Adventures of Huckleberry Finn,Mark Twain,2623,1876,adventure and adventurers; Adventure stories; American fiction (fictional works by one author); American literature; Boys; Child and youth fiction; Children's fiction; child witnesses; Courtship; English language,True,adventuresofhuck0000mark_x8i9,8157718
/works/OL455305W,The Scarlet Letter,Nathaniel Hawthorne,2425,1800,Fiction; Puritans; Puritans in fiction; History; Adultery in fiction; Adultery; Illegitimate children; Illegitimate children in fiction; Triangles (Interpersonal relations); Clergy,True,scarletletter0000nath_g4v2,5654516
/works/OL45089W,Robinson Crusoe,Daniel Defoe,2420,1686,"Crusoe, robinson (fictitious character), fiction; British and irish fiction (fictional works by one author); Survival; Fiction; Dans la littérature; Îles; Islands; Naufrages; Robinson Crusoe (Fictitious character); Translations into Swedish",True,robinsoncrusoe0000dani_p7p6,368541
/works/OL9170454W,Hamlet,William Shakespeare,2377,1603,"performing arts; Stage history; Reyes, reinas, soberanos; Venganza; History and criticism; Criticism and interpretation; LITERARY CRITICISM; Succession; Fathers; Regicide",True,hamlet0000will_a9x5,8281954
/works/OL66513W,Emma,Jane Austen,2263,1815,"Social life and customs; Mate selection; Fiction; Fathers and daughters; open_syllabus_project; Historical Fiction; Female friendship; Young women; Classic Literature; Love stories, English",True,isbn_9781905716890,9278312
/works/OL8193478W,Oliver Twist,Charles Dickens,2209,1822,Bildungsromans; Boys; Brigands and robbers; British and irish fiction (fictional works by one author); British fiction; Children; Children's fiction; Children's stories; Classic; Coming of age,True,adventuresofoliv0000unse_q0a7,13300802
/works/OL450063W,"Frankenstein; or, The Modern Prometheus",Mary Shelley,2187,1818,"Frankenstein (Fictitious character); Frankenstein's monster (Fictitious character); Fiction; Victor Frankenstein (Fictitious character); Scientists; Monsters; Fiction, horror; Frankenstein (fictitious character), fiction; Physicians, fiction; British fiction (fictional works by one author)",True,frankensteinormo00shel_8,12356249
/works/OL66562W,Sense and Sensibility,Jane Austen,2090,1811,"Fiction, Romance, Historical, Regency; Inheritance and succession, fiction; Mate selection, fiction; Social classes, fiction; Family life, fiction; Text-books for foreigners; Young women,  fiction; Literature; Readers; Gentry",True,bwb_P9-EAT-563,9278292
/works/OL8193465W,A Tale of Two Cities,Charles Dickens,2060,1800,British; British and irish fiction (fictional works by one author); Children's fiction; Criticism and interpretation; English fiction; English literature; Executions and executioners; Fathers and daughters; Fiction; classics,True,a-tale-of-two-cities,13301713
/works/OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,2049,1899,"Witches; Spanish language materials; Fiction; Wizards; Juvenile literature; Wizards in fiction; Children's stories, Russian; Specimens; Imaginary voyages in fiction; Classic Literature",True,newwizardofoz00baum,552443
/works/OL24034W,Treasure Island,Robert Louis Stevenson,1988,1880,"Fiction; Treasure Island (Imaginary place); Treasure-trove; Pirates; Treasure troves; Children's fiction; Adventure and adventurers, fiction; Pirates, fiction; Buried treasure, fiction; Voyages and travels, fiction",True,treasureisland0000unse_k0j8,13859660
/works/OL85892W,Dracula,Bram Stoker,1917,1897,English literature; Fiction; Horror; Horror stories; Horror tales; Monsters; Thriller; Vampires; Vampires in literature; Horror fiction,True,dracula00stok_8,12216503
/works/OL29983W,Little Women,Louisa May Alcott,1888,1848,"Romans; Jeunes filles; Soeurs; Sisters; Young women; Fiction; Fiction, women; Young women, fiction; Family life; Literatura Norte Americana",True,littlewomencompl0000loui,8775559
/works/OL258902W,Macbeth,William Shakespeare,1867,1508,Drama; Regicides; Kings and rulers; Texts; French-Canadian dialect; Scotland; kings; greed; murder of the King; regicide,True,macbethfacsimile0000will,872432
/works/OL20600W,Gulliver's Travels,Jonathan Swift,1810,1726,YA; Young adult; Juvenile; Fiction; Fantasy; Utopias; Classic; Classics; Irish; Literature,True,voyagesdegullive00swif,12717083
/works/OL14942956W,The Call of the Wild,Jack London,1700,1903,Gold discoveries; Bienestar; Lobos; Descubrimiento de oro; Crítica e interpretación; American Nature stories; Cartoons and comics; Feral dogs; Robo de mascotas; Pet theft,True,callofwild0000jack,12393037
/works/OL259026W,King Lear,William Shakespeare,1614,1608,"Drama; King Lear (Legendary character); Fathers and daughters; Kings and rulers; Inheritance and succession; Britons; Aging parents; Stage history; Textual Criticism; Lear, King (Legendary character)",True,bwb_O8-BXS-912,7420452
/works/OL69612W,The Secret Garden,Frances Hodgson Burnett,1594,1911,"Fiction, general; Friendship, fiction; People with disabilities, fiction; Great britain, fiction; Child and youth fiction; Children's fiction; Gardens, fiction; England, fiction; American literature; Orphans, fiction",True,secretgarden00burn,12622062
/works/OL503666W,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1594,1600,"Don Quixote (Cervantes Saavedra, Miguel de); Quotations; Knights and knighthood; Social life and customs; Fiction; Classic Literature; Don Quixote (Fictitious character); Early works to 1800; Dictionaries; Literatura picaresca",True,elingeniosohidal00cervrs,14428305
/works/OL893707W,Madame Bovary,Gustave Flaubert,1558,1856,"literary fiction; French literature; Fiction; Manners and customs, fiction; Adultery; Middle class; Physicians' spouses; Suicide victims; Married women; Social life and customs",True,oeuvrescomplt01flauuoft,12993424
/works/OL244537W,The Art of War,"孙武 (Sun Tzu), Stephen F. Kaufman, Lionel Giles, Onésimo Colavidas",1542,1900,Open Library Staff Picks; Early works to 1800; Military art and science; great_books_of_the_western_world; Business; Self-Improvement; Philosophy; open_syllabus_project; Fiction; Nonfiction,True,artofwaroldestmi00suntuoft,4849549
/works/OL259010W,A Midsummer Night's Dream,William Shakespeare,1505,1600,"Drama; Courtship; Plays; Hippolyta (Greek mythology); Theseus (Greek mythology); Juvenile drama; Children's plays, English; Stage history; Textual Criticism; Nonfiction",True,variorumshakespe0010unse,7205924
/works/OL8721462W,Great Expectations,Charles Dickens,1489,1861,Authors; Benefactors; Bildungsromans; Boys; British and irish fiction (fictional works by one author); Child and youth fiction; Classic Literature; Coming of age; Conduct of life; Criticism and interpretation,True,dickenswork14dick,13322313
/works/OL362702W,Julius Caesar,William Shakespeare,1477,1656,Antoine (Marcus Antonius); Assassination; Assassins; Bibliography; Biography; Classic Literature; Conspiracies; Drama; English literature; Fiction,True,shakespeare-giulio-cesare-angeli,7901303
/works/OL262496W,A Study in Scarlet,Arthur Conan Doyle,1447,1887,Action & Adventure Fiction; aortic aneurysm; Battle of Maiwand; Blessing and cursing; British and irish fiction (fictional works by one author); Children's fiction; Classics; crime scenes; Detective and mystery stories; Detective Fiction,True,crime_etrange_2206_librivox,13405534
/works/OL1089297W,The Prince,Niccolò Machiavelli,1407,1515,"Political science, early works to 1800; Machiavel, Nicolas, 1469-1527. Prince; Classic Literature; Fiction; Ouvrages avant 1800; Science politique; Morale politique; Political science; Early works to 1800; Political ethics",True,machiavelli00machuoft,12726168
/works/OL151406W,Through the Looking-Glass,Lewis Carroll,1379,1865,"Fantasy; Fiction; English Nonsense verses; Children's poetry, English; Nonsense verses; English poetry; Alice (Fictitious character : Carroll); Toy and movable books; English Fantasy poetry; Children's stories",True,throughlookinggl0000lewi,11272464
